latitude,longitude,category
19.4279829,-99.1369573,cafe
19.4140824,-99.1625995,restaurant
19.3464043,-99.1893478,restaurant
19.3165294,-99.1258647,restaurant
19.3593298,-99.2702958,cafe
19.3594134,-99.2701885,restaurant
19.3596026,-99.2699042,restaurant
19.3656261,-99.1757417,restaurant
19.3498425,-99.1510807,cafe
19.4329504,-99.1601573,restaurant
19.4197188,-99.157678,restaurant
19.4186954,-99.1564652,restaurant
19.2651633,-99.1145699,restaurant
19.3555968,-99.1625813,restaurant
19.425008,-99.169735,restaurant
19.4276601,-99.170927,restaurant
19.3472256,-99.0184826,mall
19.4100264,-99.1835532,restaurant
19.4113179,-99.1763426,cafe
19.4116328,-99.1760489,cafe
19.4101479,-99.1703758,restaurant
19.410544,-99.1729781,restaurant
19.4116381,-99.1759218,restaurant
19.4124027,-99.1733586,cafe
19.4125013,-99.173537,restaurant
19.4116526,-99.1715254,cafe
19.411688,-99.1749546,restaurant
19.411688,-99.1740104,restaurant
19.411301,-99.1767838,cafe
19.4113115,-99.1765907,cafe
19.4113384,-99.1754832,restaurant
19.4113021,-99.1751717,bar
19.4101803,-99.1699683,restaurant
19.4110606,-99.1745697,bar
19.4112048,-99.1722911,restaurant
19.4113832,-99.173242,restaurant
19.4116437,-99.172495,restaurant
19.4116721,-99.1757874,restaurant
19.4118739,-99.1751409,restaurant
19.41271,-99.1744087,restaurant
19.4128517,-99.1746689,restaurant
19.4130237,-99.1750337,restaurant
19.4117553,-99.1755187,restaurant
19.4116205,-99.1766259,restaurant
19.4106204,-99.167636,restaurant
19.4120965,-99.1732183,pub
19.4116126,-99.1769332,restaurant
19.4116898,-99.1748169,restaurant
19.4116873,-99.1747043,restaurant
19.4120522,-99.172645,restaurant
19.4114122,-99.1721783,restaurant
19.4114223,-99.17202,pub
19.4116911,-99.174491,restaurant
19.4113856,-99.1736589,bar
19.4116082,-99.1735952,cafe
19.4109549,-99.1688289,cafe
19.41096,-99.1687625,restaurant
19.4105324,-99.1661353,restaurant
19.4109473,-99.1687263,restaurant
19.4108897,-99.1685556,restaurant
19.4108183,-99.1682877,restaurant
19.4107597,-99.1681624,restaurant
19.4116847,-99.1735958,restaurant
19.4110194,-99.1647352,pub
19.4116247,-99.1605791,cafe
19.4169348,-99.1592647,restaurant
19.4179925,-99.1598247,restaurant
19.4178838,-99.1597764,restaurant
19.4180785,-99.1595404,restaurant
19.4620875,-99.1271536,restaurant
19.4580851,-99.1290381,pub
19.3693072,-99.2211329,cafe
19.4142197,-99.176869,cafe
19.4127221,-99.167036,restaurant
19.4134102,-99.1671487,cafe
19.4087959,-99.1765847,cafe
